Date,polarity_mean
2020-06-04,-0.03562386156648452
2020-06-05,-0.029736467236467237
2020-07-01,0.05366383996520982
2020-07-03,-0.09090909090909091
2020-07-04,-0.060940346083788705
2020-07-05,-0.05836693548387096
2020-08-01,-0.015039682539682537
2020-08-03,-0.032196969696969696
2020-08-04,0.021537422839506173
2020-08-05,0.065
2020-09-01,-0.019313865147198468
2020-09-03,-0.044372133323026176
2020-09-04,-0.009093516924842228
2020-09-05,0.0
2020-10-01,0.056123737373737374
2020-10-03,-0.03468960437710438
2020-10-04,-0.012121212121212121
2020-10-05,0.12698412698412698
2020-11-01,0.19642857142857142
2020-11-03,-0.035201020102010205
2020-11-04,0.09375
2020-11-05,-0.007765151515151514
2020-12-01,0.0
2020-12-03,-0.009962686567164182
2020-12-04,-0.04107142857142857
